*** Cities are numbered 0..n-1 and each line shows a leg from one city to the next 
 followed by the distance rounded to integers***

2950 2950
2016 2492 7
2492 1643 4
1643 1936 5
1936 2696 4
2696 1856 7
1856 1161 9
1161 1853 6
1853 2341 14
2341 257 6
257 2835 5
2835 2236 9
2236 2336 6
2336 2750 12
2750 2219 7
2219 2887 8
2887 2909 6
2909 2833 7
2833 2110 12
2110 2463 5
2463 1193 8
1193 22 6
22 693 4
693 2101 12
2101 1763 7
1763 2644 6
2644 2723 10
2723 2342 10
2342 2859 10
2859 2918 6
2918 2078 9
2078 2352 8
2352 2175 5
2175 2211 5
2211 2831 6
2831 2809 4
2809 2789 9
2789 2746 5
2746 1836 6
1836 133 11
133 2157 7
2157 1244 4
1244 27 6
27 2828 7
2828 2592 13
2592 2822 9
2822 1974 7
1974 2292 7
2292 2579 8
2579 1357 5
1357 1404 4
1404 2697 8
2697 2127 8
2127 250 6
250 570 9
570 864 3
864 2634 8
2634 1648 6
1648 2166 6
2166 2818 4
2818 707 7
707 236 6
236 1618 4
1618 1591 5
1591 2247 6
2247 1412 3
1412 1908 4
1908 1203 4
1203 2628 4
2628 1917 2
1917 254 4
254 2683 4
2683 2503 9
2503 2430 6
2430 2717 5
2717 2652 7
2652 2334 6
2334 1476 6
1476 1889 10
1889 2253 10
2253 2839 8
2839 2832 8
2832 2764 3
2764 2333 8
2333 2847 7
2847 2469 4
2469 230 9
230 2488 6
2488 2619 5
2619 1831 6
1831 1829 7
1829 1718 7
1718 1630 5
1630 2688 10
2688 1822 4
1822 981 6
981 130 6
130 2264 6
2264 1613 6
1613 1048 5
1048 1787 6
1787 1096 8
1096 1094 7
1094 1639 7
1639 7 6
7 508 8
508 1061 6
1061 603 7
603 397 10
397 1092 8
1092 851 7
851 1016 6
1016 1557 7
1557 2359 7
2359 1437 6
1437 2505 10
2505 2643 7
2643 2704 6
2704 2123 6
2123 103 5
103 2795 8
2795 745 6
745 2259 5
2259 2473 7
2473 2899 4
2899 455 6
455 2623 7
2623 1948 7
1948 2825 9
2825 2935 6
2935 2603 10
2603 2332 5
2332 2622 9
2622 1610 7
1610 2691 8
2691 2669 6
2669 2289 6
2289 2805 6
2805 2145 9
2145 2883 10
2883 2286 6
2286 2700 7
2700 2917 5
2917 2214 10
2214 897 7
897 2796 6
2796 2155 5
2155 552 6
552 2647 7
2647 2913 7
2913 2134 10
2134 1237 6
1237 2130 6
2130 1459 8
1459 1588 7
1588 1741 7
1741 1468 9
1468 2674 8
2674 2563 8
2563 2884 5
2884 2456 6
2456 1581 6
1581 2920 7
2920 2849 8
2849 2802 4
2802 2823 3
2823 2850 7
2850 2299 7
2299 1623 6
1623 2629 6
2629 1540 6
1540 1051 7
1051 1227 6
1227 2195 6
2195 1667 7
1667 2902 5
2902 2348 5
2348 2665 7
2665 2937 4
2937 2886 7
2886 2655 8
2655 2392 3
2392 1345 10
1345 2055 6
2055 1481 8
1481 607 4
607 1076 7
1076 2637 7
2637 2541 9
2541 2118 13
2118 172 10
172 2327 10
2327 2829 4
2829 2708 7
2708 2183 9
2183 2606 6
2606 2702 4
2702 2561 8
2561 223 9
223 2218 7
2218 2513 4
2513 1452 6
1452 1488 11
1488 1103 6
1103 1967 6
1967 904 8
904 2090 9
2090 2834 8
2834 1986 8
1986 1431 4
1431 706 6
706 850 10
850 2517 6
2517 1021 6
1021 29 5
29 1371 8
1371 1803 6
1803 2651 10
2651 2555 9
2555 2567 5
2567 84 6
84 2306 4
2306 2191 6
2191 1901 6
1901 2790 5
2790 2147 4
2147 2346 7
2346 1783 3
1783 2659 7
2659 1518 8
1518 256 5
256 1800 8
1800 1175 7
1175 1611 7
1611 2698 4
2698 789 5
789 739 7
739 169 8
169 1480 5
1480 556 9
556 1274 8
1274 1740 9
1740 846 3
846 731 10
731 1504 4
1504 658 4
658 880 6
880 883 6
883 2282 8
2282 1882 6
1882 1090 8
1090 1674 10
1674 712 9
712 1192 7
1192 1922 4
1922 2023 6
2023 1070 6
1070 720 4
720 2648 7
2648 1675 6
1675 1118 6
1118 2568 8
2568 1713 8
1713 1862 5
1862 1536 9
1536 2180 7
2180 1397 6
1397 2673 7
2673 2142 7
2142 742 8
742 1024 7
1024 2022 8
2022 465 10
465 2479 8
2479 2072 4
2072 363 7
363 854 4
854 60 5
60 1709 6
1709 2385 4
2385 283 7
283 299 6
299 574 11
574 1510 12
1510 1635 6
1635 2129 6
2129 1881 9
1881 1139 3
1139 2151 11
2151 829 6
829 1384 8
1384 535 4
535 531 4
531 918 8
918 855 4
855 1532 7
1532 1233 9
1233 870 5
870 1755 7
1755 1671 7
1671 57 6
57 875 9
875 1318 7
1318 539 7
539 1666 5
1666 1281 4
1281 583 9
583 1140 7
1140 613 7
613 1913 4
1913 407 9
407 340 7
340 2780 8
2780 513 7
513 1739 8
1739 1614 11
1614 1163 5
1163 792 5
792 1553 5
1553 177 8
177 517 8
517 697 5
697 2112 8
2112 2889 10
2889 1828 11
1828 2667 7
2667 2397 4
2397 1113 8
1113 820 11
820 1322 6
1322 1727 8
1727 1121 5
1121 106 12
106 352 10
352 1771 6
1771 298 10
298 438 6
438 409 8
409 790 6
790 1622 6
1622 2006 9
2006 733 7
733 2269 9
2269 1388 9
1388 1888 12
1888 2487 5
2487 1925 5
1925 2791 6
2791 2658 3
2658 2689 7
2689 2437 10
2437 2495 8
2495 2422 7
2422 1409 9
1409 2737 8
2737 2726 6
2726 2595 4
2595 388 6
388 2066 9
2066 2857 7
2857 1352 8
1352 2316 5
2316 226 12
226 898 10
898 2851 4
2851 2533 5
2533 1778 4
1778 2519 4
2519 341 9
341 81 11
81 2898 4
2898 2432 3
2432 2546 6
2546 2227 5
2227 2030 4
2030 2680 9
2680 188 9
188 1716 6
1716 2272 8
2272 2896 6
2896 2565 4
2565 2775 9
2775 2309 9
2309 240 7
240 1415 6
1415 1659 2
1659 1562 11
1562 2237 7
2237 1725 10
1725 2303 10
2303 449 8
449 1259 11
1259 1685 4
1685 589 6
589 1714 15
1714 1681 6
1681 777 2
777 500 10
500 1884 6
1884 1344 6
1344 332 8
332 430 11
430 90 15
90 386 8
386 369 9
369 270 7
270 827 9
827 1954 6
1954 486 8
486 956 8
956 837 11
837 1552 12
1552 852 6
852 833 7
833 401 6
401 599 4
599 1152 9
1152 1723 4
1723 1569 8
1569 1258 8
1258 300 7
300 414 12
414 489 6
489 405 7
405 265 3
265 640 9
640 1383 5
1383 795 9
795 1178 10
1178 1313 14
1313 477 5
477 2223 4
2223 451 6
451 1034 4
1034 579 3
579 109 11
109 1372 10
1372 354 7
354 683 3
683 814 8
814 1690 4
1690 537 3
537 329 9
329 61 9
61 1750 6
1750 868 6
868 1188 5
1188 1806 12
1806 1708 8
1708 1641 7
1641 440 6
440 1131 3
1131 876 4
876 614 8
614 117 14
117 1319 9
1319 1029 10
1029 510 6
510 1374 7
1374 566 8
566 2000 11
2000 1377 7
1377 1295 7
1295 765 12
765 37 6
37 983 9
983 761 5
761 899 3
899 551 10
551 773 7
773 488 14
488 979 11
979 360 8
360 938 10
938 359 7
359 947 4
947 237 5
237 578 6
578 988 7
988 782 11
782 1316 4
1316 365 4
365 1229 5
1229 284 7
284 68 6
68 330 9
330 1776 6
1776 534 8
534 485 7
485 2084 6
2084 1323 7
1323 353 10
353 1042 12
1042 1567 6
1567 896 7
896 1590 7
1590 1343 6
1343 1602 7
1602 935 6
935 2405 12
2405 1251 6
1251 708 5
708 1797 8
1797 291 8
291 902 11
902 998 6
998 2162 7
2162 45 4
45 2169 5
2169 305 12
305 831 12
831 418 21
418 682 7
682 1004 13
1004 1137 10
1137 663 5
663 125 6
125 655 7
655 926 15
926 346 7
346 475 8
475 1411 8
1411 92 7
92 278 11
278 1002 8
1002 834 5
834 2734 6
2734 316 7
316 286 6
286 34 4
34 664 12
664 1861 19
1861 1071 10
1071 562 12
562 2528 9
2528 2681 12
2681 2386 9
2386 774 10
774 105 14
105 2701 7
2701 2516 10
2516 1527 7
1527 1300 8
1300 50 8
50 865 6
865 608 8
608 166 4
166 289 4
289 288 9
288 652 14
652 1735 7
1735 1915 8
1915 1394 11
1394 309 6
309 1268 16
1268 2830 15
2830 1821 6
1821 2749 17
2749 1734 9
1734 2630 15
2630 234 10
234 1212 10
1212 2226 7
2226 1801 15
1801 1361 9
1361 52 5
52 895 12
895 1005 7
1005 2419 6
2419 322 6
322 198 7
198 602 6
602 1 10
1 140 10
140 394 4
394 95 6
95 569 11
569 287 17
287 610 7
610 1632 10
1632 2465 12
2465 1878 9
1878 2428 14
2428 1474 12
1474 2149 15
2149 2576 7
2576 598 17
598 1127 12
1127 1774 11
1774 1315 10
1315 684 8
684 1765 6
1765 668 11
668 154 18
154 2459 10
2459 1399 10
1399 1597 6
1597 927 9
927 2163 11
2163 1101 13
1101 964 12
964 2772 3
2772 760 6
760 1190 8
1190 2239 9
2239 2404 10
2404 1176 12
1176 738 10
738 162 9
162 632 5
632 2003 15
2003 1369 15
1369 2216 13
2216 1355 10
1355 310 10
310 461 7
461 1482 14
1482 197 10
197 431 12
431 1577 5
1577 2318 7
2318 1417 7
1417 673 10
673 1228 8
1228 2679 6
2679 1331 10
1331 2258 12
2258 1219 12
1219 2425 8
2425 913 4
913 1640 7
1640 1335 6
1335 2132 6
2132 796 9
796 1963 11
1963 2394 6
2394 660 3
660 1146 9
1146 838 9
838 1205 7
1205 238 4
238 2448 2
2448 2164 9
2164 2755 9
2755 1348 8
1348 1875 5
1875 2507 4
2507 806 10
806 17 6
17 1130 4
1130 1261 7
1261 1366 4
1366 1827 4
1827 997 9
997 910 6
910 2005 7
2005 2642 9
2642 2888 8
2888 2914 5
2914 2136 6
2136 2412 6
2412 1084 8
1084 1923 4
1923 2624 3
2624 55 4
55 1147 2
1147 730 6
730 1525 9
1525 1080 4
1080 1841 7
1841 1575 10
1575 458 14
458 320 8
320 676 10
676 810 7
810 402 4
402 1338 4
1338 377 6
377 271 8
271 2302 4
2302 2019 6
2019 1850 6
1850 1825 6
1825 351 9
351 272 13
272 645 5
645 410 10
410 385 5
385 856 7
856 912 8
912 1444 9
1444 888 6
888 2158 9
2158 1446 8
1446 1950 7
1950 1823 8
1823 1855 9
1855 511 10
511 527 8
527 480 6
480 9 11
9 1837 3
1837 450 12
450 136 6
136 444 8
444 334 7
334 493 9
493 915 10
915 2848 9
2848 1809 11
1809 1223 7
1223 1817 7
1817 1857 7
1857 1093 10
1093 446 14
446 1655 12
1655 2028 14
2028 2855 17
2855 711 12
711 1576 9
1576 2751 23
2751 2036 35
2036 224 29
224 2878 18
2878 718 25
718 2357 31
2357 2890 12
2890 25 12
25 980 10
980 348 15
348 231 10
231 545 15
545 1606 17
1606 1858 12
1858 5 4
5 1680 8
1680 1354 10
1354 445 5
445 644 10
644 2107 7
2107 989 8
989 943 4
943 575 6
575 1742 10
1742 1658 10
1658 1563 14
1563 1400 6
1400 1656 8
1656 536 8
536 748 16
748 969 8
969 606 10
606 2508 16
2508 2627 4
2627 1050 14
1050 710 2
710 1702 7
1702 67 6
67 1362 5
1362 2436 6
2436 2692 8
2692 2747 8
2747 1892 10
1892 1301 8
1301 1751 6
1751 1769 6
1769 2803 8
2803 1733 7
1733 2074 4
2074 2383 8
2383 1818 9
1818 246 8
246 2543 3
2543 1711 10
1711 1440 8
1440 1768 9
1768 225 7
225 821 8
821 787 11
787 1302 6
1302 955 10
955 685 6
685 285 8
285 965 6
965 2168 8
2168 1284 10
1284 1513 6
1513 2268 11
2268 347 13
347 273 10
273 48 8
48 509 10
509 991 6
991 1894 7
1894 1697 8
1697 155 8
155 2486 12
2486 2113 7
2113 24 7
24 1327 4
1327 785 8
785 1652 7
1652 325 8
325 1379 3
1379 1007 6
1007 2012 7
2012 1985 4
1985 1744 4
1744 1993 4
1993 804 4
804 2735 8
2735 1330 6
1330 1927 3
1927 1044 7
1044 1839 5
1839 195 4
195 2470 3
2470 725 5
725 2413 4
2413 2045 2
2045 205 8
205 884 4
884 1204 5
1204 805 6
805 1169 12
1169 2290 7
2290 1737 7
1737 995 8
995 1336 11
1336 893 10
893 2070 6
2070 2675 6
2675 2466 6
2466 2767 4
2767 2076 4
2076 2861 8
2861 1615 7
1615 2442 8
2442 1717 10
1717 1736 8
1736 2593 12
2593 2876 8
2876 2733 6
2733 2926 10
2926 2409 6
2409 1712 7
1712 2761 7
2761 2660 5
2660 1874 4
1874 2458 7
2458 1820 6
1820 2921 4
2921 2894 6
2894 2671 7
2671 479 8
479 1584 8
1584 648 3
648 2852 8
2852 2742 6
2742 2945 4
2945 2597 4
2597 2071 9
2071 1905 14
1905 209 8
209 2615 9
2615 2382 8
2382 819 3
819 1018 8
1018 2159 7
2159 2862 11
2862 1294 10
1294 2038 5
2038 2506 7
2506 653 7
653 1605 6
1605 647 3
647 624 8
624 1786 8
1786 219 10
219 1083 10
1083 1395 6
1395 468 6
468 625 9
625 1920 5
1920 1283 11
1283 835 9
835 199 10
199 549 13
549 993 9
993 2040 11
2040 691 7
691 1312 10
1312 743 11
743 1112 4
1112 1013 10
1013 366 12
366 908 12
908 1653 5
1653 1264 14
1264 524 6
524 483 4
483 1984 6
1984 2179 4
2179 1201 9
1201 1012 6
1012 1531 11
1531 924 7
924 2026 10
2026 1239 10
1239 406 7
406 2525 7
2525 928 8
928 2545 7
2545 1596 8
1596 1957 10
1957 1983 8
1983 858 7
858 594 7
594 2418 5
2418 85 7
85 408 3
408 917 5
917 1257 7
1257 403 8
403 982 9
982 2189 9
2189 2105 12
2105 2049 10
2049 1199 7
1199 1731 8
1731 550 11
550 247 7
247 2476 8
2476 2799 11
2799 1456 4
1456 2571 9
2571 2574 6
2574 2057 9
2057 215 4
215 2160 7
2160 1819 11
1819 1694 6
1694 1358 7
1358 466 5
466 1578 8
1578 1153 6
1153 2421 6
2421 1166 6
1166 1582 7
1582 580 6
580 1058 8
1058 1945 6
1945 395 7
395 1265 8
1265 1135 10
1135 118 4
118 1624 4
1624 1500 7
1500 1654 6
1654 2552 4
2552 2869 6
2869 2154 6
2154 1580 8
1580 1017 6
1017 2690 4
2690 1683 4
1683 836 9
836 960 5
960 1286 6
1286 2329 6
2329 1226 6
1226 181 6
181 2653 6
2653 2743 4
2743 1907 6
1907 2365 2
2365 1321 6
1321 1278 4
1278 1572 2
1572 1390 3
1390 2229 7
2229 2274 5
2274 1944 8
1944 528 5
528 2867 7
2867 1868 7
1868 2202 10
2202 772 4
772 874 4
874 1202 6
1202 243 6
243 2297 4
2297 629 3
629 734 4
734 2713 4
2713 504 6
504 1154 7
1154 129 4
129 2635 6
2635 2826 5
2826 2501 5
2501 1676 3
1676 885 4
885 637 5
637 2399 4
2399 1250 4
1250 151 4
151 591 3
591 1206 4
1206 159 6
159 1133 4
1133 736 4
736 1392 7
1392 143 8
143 375 4
375 393 5
393 331 6
331 753 5
753 778 5
778 507 7
507 1975 9
1975 374 10
374 8 7
8 427 7
427 2102 7
2102 791 6
791 953 4
953 2843 8
2843 1587 4
1587 1846 10
1846 2225 5
2225 2184 9
2184 705 7
705 1816 6
1816 1499 4
1499 674 8
674 1291 5
1291 1779 4
1779 1422 6
1422 2279 5
2279 1081 7
1081 1550 7
1550 2364 6
2364 1123 3
1123 1314 6
1314 944 5
944 335 7
335 337 9
337 1880 5
1880 165 7
165 597 6
597 1117 6
1117 302 4
302 2573 5
2573 264 9
264 266 4
266 568 2
568 0 7
